"CD_CVM","EMPRESA","CD_CONTA","CONTA","PERIODO","VL_CONTA"
"25275","Alphaville","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",400266
"25275","Alphaville","1.02","1.02 - Ativo Não Circulante","4T20",1348187
"25275","Alphaville","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",785685
"25275","Alphaville","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"25275","Alphaville","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",501248
"25275","Alphaville","1.02.01.05","1.02.01.03 - Estoques","4T20",0
"25275","Alphaville","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",284437
"25275","Alphaville","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",0
"25275","Alphaville","1.02.02","1.02.02 - Investimentos","4T20",23426
"25275","Alphaville","1.02.03","1.02.03 - Imobilizado","4T20",34279
"25275","Alphaville","1.02.04","1.02.04 - Intangível","4T20",504797
"25909","Emccamp","1","1 - Ativo Total","4T20",507270
"25909","Emccamp","1.01","1.01 - Ativo Circulante","4T20",434276
"25909","Emccamp","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",143657
"25909","Emccamp","1.01.02","1.01.02 - Aplicações Financeiras","4T20",0
"25909","Emccamp","1.01.03","1.01.03 - Contas a Receber","4T20",112840
"25909","Emccamp","1.01.04","1.01.04 - Estoques","4T20",0
"25909","Emccamp","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",177779
"25909","Emccamp","1.02","1.02 - Ativo Não Circulante","4T20",72994
"25909","Emccamp","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",54878
"25909","Emccamp","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"25909","Emccamp","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",28665
"25909","Emccamp","1.02.01.05","1.02.01.03 - Estoques","4T20",0
"25909","Emccamp","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",26000
"25909","Emccamp","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",213
"25909","Emccamp","1.02.02","1.02.02 - Investimentos","4T20",56
"25909","Emccamp","1.02.03","1.02.03 - Imobilizado","4T20",17279
"25909","Emccamp","1.02.04","1.02.04 - Intangível","4T20",781
"25305","Patrimar","1","1 - Ativo Total","4T20",825317
"25305","Patrimar","1.01","1.01 - Ativo Circulante","4T20",624717
"25305","Patrimar","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",119256
"25305","Patrimar","1.01.02","1.01.02 - Aplicações Financeiras","4T20",0
"25305","Patrimar","1.01.03","1.01.03 - Contas a Receber","4T20",155680
"25305","Patrimar","1.01.04","1.01.04 - Estoques","4T20",328108
"25305","Patrimar","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",21673
